Hotel Name,Type,Classification,Rooms,latitude,longitude,,,
Warf Aldyafah Homes,Serviced Apartments,Unclassified,24,24.78574,46.713428,,,
Lamas Hotel Apartments,Serviced Apartments,Standard,20,24.781349,46.708151,,,
Rest Crown Furnished Residential Units,Serviced Apartments,Standard,24,24.7801033,46.6973978,,,
Merfal Serviced Apartments Branch,Serviced Apartments,Standard,38,24.766903,46.706088,,,
Al Magheeb Suites Residential Units,Serviced Apartments,Standard,30,24.774954,46.70862,,,
Rest Time Golden Hotel,Serviced Apartments,Standard,27,24.774657,46.706278,,,
Braira,Hotels,Unclassified,101,24.770097,46.715001,,,
Mandarin Al Shamal Serviced Apartments,Serviced Apartments,Luxury,35,24.75397,46.678807,,,
Dar Hashem Furnished Units,Serviced Apartments,Standard,48,24.751095,46.665333,,,
Royal Suite,Serviced Apartments,Standard,33,24.750454,46.658058,,,
Crowne Plaza Riyadh RDC Hotel & Convention,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê‚≠ê,326,24.7387971,46.6352857,,,١
Riyada Home Serviced Apartments,Hotels,‚≠ê‚≠ê,52,24.742255,46.62013,,,
Sakan Al Taraf Furnished Residential Units,Serviced Apartments,Standard,16,24.741419,46.649024,,,
Unique Suites Furnished Residential Units,Serviced Apartments,Standard,34,24.745651,46.679055,,,
Dome,Serviced Apartments,Unclassified,48,24.7153331,46.69642899999999,,,
Dar Hashim Hotel Suites,Serviced Apartments,Unclassified,45,24.7560947,46.7069983,,,
Karim Hotel,Hotels,‚≠ê,99,24.7549955,46.7059922,,,
Mogador,Serviced Apartments,Standard,47,24.753211,46.701202,,,
Aseel Furnished Residential Units,Serviced Apartments,Standard,17,24.755457,46.716555,,,
Enwan Al Arab Furnished Residential Units,Serviced Apartments,Unclassified,17,24.7621628,46.7252998,,,
Milaf Palace Furnished Residential Units,Serviced Apartments,Unclassified,24,24.7628578,46.7254617,,,
Faba Furnished Units,Serviced Apartments,Unclassified,49,24.764132,46.729636,,,
Hayat Inn,Serviced Apartments,Standard,32,24.765106,46.732173,,,
Nooryana Suites and Apartments,Serviced Apartments,Standard,31,24.765834,46.733884,,,
Art View Hotel,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê,76,24.75324,46.722922,,,
Borooq Najd Furnished Residential Units,Serviced Apartments,Unclassified,23,24.753112,46.743823,,,
Crowne Plaza Hotel Riyadh Al Waha,Hotels,Unclassified,114,24.7421336,46.7250801,,,
Masarat Al Wurud Serviced Apartments,Serviced Apartments,Standard,25,24.724121,46.68095,,,
Bayt Al Montazah Furnished Residential Units Company Park House,Serviced Apartments,Premium,43,24.718766,46.680491,,,
Taj Al Bait Furnished Residential Units,Serviced Apartments,Standard,19,24.710132,46.666502,,,
Ibis Riyadh Hotel,Hotels,‚≠ê‚≠ê‚≠ê,176,24.712129,46.676737,,,
Durat Bazil Residential Units,Serviced Apartments,Standard,42,24.708997,46.677777,,,
Al Furat Madayin Hotel,Hotels,‚≠ê,43,24.705785,46.67666,,,
Courtyard by Marriott,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê,230,24.702203,46.678645,,,
Ajnaden Residential Furnished Units,Serviced Apartments,Standard,42,24.701228,46.681076,,,
Rosh Rayhaan by Rotana Hotel,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê‚≠ê,235,24.7004029,46.6819706,,,
"Elaf Hotels Co., Ltd.",Hotels,‚≠ê‚≠ê,276,24.699385,46.682753,,,
Hyatt Regency Riyadh Olaya,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê‚≠ê,261,24.6983583,46.6823957,,,
First Suite Serviced Apartments,Serviced Apartments,Standard,41,24.694517,46.677543,,,
Vivienda Hotel Villas,Hotels,Unclassified,24,24.686743,46.663683,,,
Narcissus Hotel,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê‚≠ê,280,24.6956749,46.6836215,,,
Boudl Al Olaya,Serviced Apartments,Premium,57,24.6922768,46.6862435,,,
Madarin Oriental Al Faisaliah Hotel,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê‚≠ê,325,24.690367,46.684113,,,
Aloft Hotels,Hotels,‚≠ê‚≠ê‚≠ê,287,24.679456,46.692658,,,
Sixty-Three Hotel Suites,Hotels,‚≠ê‚≠ê‚≠ê,37,24.682644,46.696773,,,
Dorar Al Andalus Furnished Residential Units,Serviced Apartments,Unclassified,24,24.687122,46.699153,,,
Lamar House Residential Units,Serviced Apartments,Standard,29,24.68891,46.69987,,,
Lamar House Furnished Residential Units,Serviced Apartments,Standard,35,24.688731,46.699821,,,
Garden City,Serviced Apartments,Standard,22,24.691798,46.707111,,,
Suite Inn Hotel,Serviced Apartments,Luxury,39,24.693992,46.711298,,,
All Days Furnished Units,Serviced Apartments,Standard,19,24.695099,46.72153,,,
Fraser Suites Riyadh,Serviced Apartments,Luxury,95,24.6792087,46.6918415,,,
Rahabat Al Manzel Furnished Residential Units,Serviced Apartments,Standard,32,24.680736,46.700681,,,
Dabab Hotel by Warwick,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê,85,24.6795558,46.7019789,,,
Azar Hayat Furnished Residential Apartments,Serviced Apartments,Standard,30,24.674441,46.696356,,,
"Hyatt Buyutat Hotel, a Branch of Al Janadriyah  Furnished Residential Units",Serviced Apartments,Standard,45,24.674816,46.693886,,,
Rukn Biotat Furnished Apartments,Serviced Apartments,Standard,41,24.674582,46.691817,,,
Janadriah Suites,Serviced Apartments,Standard,52,24.674159,46.692587,,,
Ziyara,Serviced Apartments,Standard,40,24.674345,46.693069,,,
Aber Hotels,Hotels,‚≠ê‚≠ê‚≠ê,92,24.666557,46.683395,,,
Crowne Plaza Minhal,Hotels,‚≠ê‚≠ê‚≠ê,312,24.689732,46.71734,,,
Golden Dome,Serviced Apartments,Standard,42,24.659025,46.696053,,,
Park Inn Riyadh Hotel,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê,192,24.690666,46.732206,,,
Boudl Al Malaz,Serviced Apartments,Luxury,50,24.6864375,46.7348125,,,
Hayat Al Riyadh Hotel,Hotels,‚≠ê‚≠ê‚≠ê,78,24.6601193,46.7096315,,,
Riviera Serviced Residential Units,Serviced Apartments,Standard,30,24.66104,46.725039,,,
Burj Al Raya Hotel Apartment,Serviced Apartments,Standard,31,24.662043,46.727422,,,
Qasr Al Toot Furnished Apartments,Serviced Apartments,Standard,70,24.647417,46.714417,,,
Intercity Hotel,Hotels,‚≠ê‚≠ê‚≠ê‚≠ê,84,24.672005,46.736072,,,
Baeza Serviced Apartments,Serviced Apartments,Unclassified,20,24.678316,46.768948,,,
Rokn Alrafahiya Aparthotel,Serviced Apartments,Unclassified,25,24.604677,46.738891,,,
Taj Al Maqan Furnished Apartments,Serviced Apartments,Standard,26,24.602753,46.740179,,,
Durar Aral Residential Units,Serviced Apartments,Standard,23,24.567364,46.654277,,,
Fan Rowah Alghuroob Furnished Residential Apartments,Serviced Apartments,Standard,20,24.568617,46.65937,,,
Maria Apartments Furnished Residential Units,Serviced Apartments,Standard,22,24.609023,46.740143,,,
Petra Palace Residential Units,Serviced Apartments,Standard,23,24.60859,46.731433,,,
Zawaya Amasina Furnished Apartments,Serviced Apartments,Standard,30,24.605689,46.750868,,,
Durrah Al Zain Furnished Apartments,Serviced Apartments,Standard,33,24.610876,46.754369,,,
Wasan Suites,Serviced Apartments,Premium,36,24.613844,46.756196,,,
Drr Ramah Furnished Residential Units,Serviced Apartments,Standard,49,24.71129,46.702584,,,
Bayt Al Wahd Furnished Residential Units,Serviced Apartments,Standard,15,24.716929,46.695072,,,
