property_id,propertyUrl,City,Zipcode,latitude,longitude,type,guests,pricePerNight,overallRating,googleMapsUrl
1.14711E+18,https://www.airbnb.com/rooms/1147108000984440002,Riyadh,13338,24.87368,46.62528,Apartment,4,$113,4.83,"https://www.google.com/maps/search/24.87368+46.62528/@24.87368,46.62528,17z"
1.24293E+18,https://www.airbnb.com/rooms/1242933662384733373,Riyadh,13421,24.83093,46.74168,Apartment,3,$120,4.86,"https://www.google.com/maps/search/24.83093+46.74168/@24.83093,46.74168,17z"
1.3277E+18,https://www.airbnb.com/rooms/1327699561067486419,الرياض,12465,24.757,46.67676,Studio,4,$67,5,"https://www.google.com/maps/search/24.757+46.67676/@24.757,46.67676,17z"
1.2827E+18,https://www.airbnb.com/rooms/1282702212527513842,Riyadh,12242,24.70905,46.69393,Studio,2,$107,5,"https://www.google.com/maps/search/24.70905+46.69393/@24.70905,46.69393,17z"
1.29435E+18,https://www.airbnb.com/rooms/1294350413029321979,Riyadh,13521,24.78728919,46.6155394,Studio,2,$82,5,"https://www.google.com/maps/search/24.7872891941438+46.6155393992689/@24.7872891941438,46.6155393992689,17z"
1.08334E+18,https://www.airbnb.com/rooms/1083337201665281356,Riyadh,13315,24.78476,46.63292,Studio,2,$86,5,"https://www.google.com/maps/search/24.78476+46.63292/@24.78476,46.63292,17z"
1.20454E+18,https://www.airbnb.com/rooms/1204536827710235078,Riyadh,13322,24.81644,46.6334,Apartment,3,$67,4.75,"https://www.google.com/maps/search/24.81644+46.6334/@24.81644,46.6334,17z"
1.17519E+18,https://www.airbnb.com/rooms/1175191417983861288,Riyadh,10011,24.74878,46.81061,Apartment,5,$70,4.11,"https://www.google.com/maps/search/24.74878+46.81061/@24.74878,46.81061,17z"
1.32771E+18,https://www.airbnb.com/rooms/1327708515110316669,الرياض,12465,24.75681,46.67567,Studio,4,$65,4.67,"https://www.google.com/maps/search/24.75681+46.67567/@24.75681,46.67567,17z"
1.32449E+18,https://www.airbnb.com/rooms/1324488220552434470,Riyadh,13315,24.7844,46.6286,Studio,3,$72,5,"https://www.google.com/maps/search/24.7844+46.6286/@24.7844,46.6286,17z"
1.03578E+18,https://www.airbnb.com/rooms/1035781669683798018,Riyadh,13322,24.8256,46.63433,Apartment,3,$147,5,"https://www.google.com/maps/search/24.8256+46.63433/@24.8256,46.63433,17z"
7.13364E+17,https://www.airbnb.com/rooms/713363759775985651,Riyadh,12214,24.71029,46.67392,Studio,2,$191,5,"https://www.google.com/maps/search/24.71029+46.67392/@24.71029,46.67392,17z"
1.13609E+18,https://www.airbnb.com/rooms/1136090857582867544,Riyadh,13251,24.8067,46.7821,Studio,2,$75,4.33,"https://www.google.com/maps/search/24.8067+46.7821/@24.8067,46.7821,17z"
1.32053E+18,https://www.airbnb.com/rooms/1320529043547386143,Riyadh,12283,24.76492,46.66844,Apartment,2,$80,5,"https://www.google.com/maps/search/24.76492+46.66844/@24.76492,46.66844,17z"
1.29926E+18,https://www.airbnb.com/rooms/1299258019091029276,Riyadh,13522,24.82256445,46.60541076,Other,6,$333,5,"https://www.google.com/maps/search/24.8225644484304+46.6054107595228/@24.8225644484304,46.6054107595228,17z"
1.12979E+18,https://www.airbnb.com/rooms/1129787175276043214,الرياض,13211,24.7306,46.7622,Apartment,2,$146,5,"https://www.google.com/maps/search/24.7306+46.7622/@24.7306,46.7622,17z"
1.1312E+18,https://www.airbnb.com/rooms/1131201319107071501,Riyadh,13315,24.79279,46.65147,Apartment,6,$120,5,"https://www.google.com/maps/search/24.79279+46.65147/@24.79279,46.65147,17z"
1.22256E+18,https://www.airbnb.com/rooms/1222564458120752780,Riyadh,13512,24.76643,46.62326,Studio,3,$88,4.67,"https://www.google.com/maps/search/24.76643+46.62326/@24.76643,46.62326,17z"
1.26679E+18,https://www.airbnb.com/rooms/1266793824470076112,Riyadh,13338,24.87432371,46.62504659,Apartment,4,$125,4.5,"https://www.google.com/maps/search/24.8743237107968+46.6250465928165/@24.8743237107968,46.6250465928165,17z"
1.30348E+18,https://www.airbnb.com/rooms/1303483846672860148,Riyadh,10011,24.76263954,46.82358961,Studio,2,$60,4.17,"https://www.google.com/maps/search/24.762639538405+46.823589608208/@24.762639538405,46.823589608208,17z"
1.10003E+18,https://www.airbnb.com/rooms/1100033230519127609,Riyadh,12245,24.71172,46.69564,Studio,2,$96,4.5,"https://www.google.com/maps/search/24.71172+46.69564/@24.71172,46.69564,17z"
5.77606E+17,https://www.airbnb.com/rooms/577605911420899327,Riyadh,13221,24.7907,46.6513,Apartment,4,$104,4.5,"https://www.google.com/maps/search/24.7907+46.6513/@24.7907,46.6513,17z"
